Video,Duration_sec,Processing_sec,RTF,WER,CER,Accuracy
17Min,1074.04,10.02,0.01,0.00%,0.00%,100.00%
30Min,1747.38,709.17,0.41,0.00%,0.00%,100.00%
856355-hd_1920_1080_30fps,0.0,1.0,0.0,N/A,N/A,N/A
AkerBP 1,266.24,107.75,0.4,0.00%,0.00%,100.00%
AkerBP 2,331.76,50.56,0.15,0.00%,0.00%,100.00%
AkerBP 3,265.36,1.28,0.0,0.00%,0.00%,100.00%
Al Gore- Averting the climate crisis - TED Talk,954.44,315.78,0.33,24.08%,88.21%,75.92%
audio only,0.0,0.0,0.0,N/A,N/A,N/A
Comedy 1,270.3,103.05,0.38,0.00%,0.00%,100.00%
Comedy 2,475.14,5.99,0.01,0.00%,0.00%,100.00%
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk,1467.7,350.55,0.24,13.70%,71.69%,86.30%
David Pogue- Simplicity sells - TED Talk,1261.8,2.45,0.0,21.80%,76.44%,78.20%
DummyTest,0.0,0.0,0.0,N/A,N/A,N/A
Hans Rosling- The best stats you've ever seen - TED Talk,1171.32,278.57,0.24,18.04%,163.32%,81.96%
Jeff Han- The radical promise of the multi-touch interface - TED Talk,507.38,226.03,0.45,27.49%,154.01%,72.51%
Jehane Noujaim- My wish- A global day of film - TED Talk,1520.78,0.09,0.0,29.34%,124.61%,70.66%
Joshua Prince-Ramus- Behind the design of Seattle's library - TED Talk,1162.88,0.07,0.0,18.06%,119.33%,81.94%
Julia Sweeney- Letting go of God - TED Talk,975.1,296.99,0.3,19.06%,89.82%,80.94%
Larry Brilliant- My wish- Help me stop pandemics - TED Talk,1532.92,0.08,0.0,11.48%,51.39%,88.52%
Majora Carter- Greening the ghetto - TED Talk,1087.7,321.06,0.3,14.23%,97.69%,85.77%
Rick Warren- A life of purpose - TED Talk,1245.2,344.3,0.28,17.90%,75.97%,82.10%
Risk management,263.22,0.25,0.0,0.00%,0.00%,100.00%
Sir Ken Robinson- Do schools kill creativity. - TED Talk,1137.66,408.35,0.36,23.42%,92.33%,76.58%
test no audio,0.0,40.43,0.0,N/A,N/A,N/A
Tony Robbins- 토니 라빈스 '행동의 이유' - TED Talk,1279.72,422.4,0.33,0.00%,0.00%,100.00%
video1,1389.68,0.08,0.0,0.00%,0.00%,100.00%
