Filename	Start_Time	Caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:00	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:01	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:02	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:14	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:34	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:00:50	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:01:09	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:03:15	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:03:51	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:04:14	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:04:23	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:08:12	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:08:34	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:08:44	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:09:09	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:14	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:30	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:33	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:35	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:40	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:10:59	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:12:50	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:13:10	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:13:14	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:14:05	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:14:35	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:14:56	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:15:09	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:15:34	No caption
video1.mp4	00:05:44	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:15:37	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:15:45	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:15:57	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:16:43	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:16:58	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:17:06	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:17:15	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:17:22	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:17:37	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:17:53	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:18:11	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:18:35	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:18:40	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:18:51	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:18:52	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:19:09	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:19:28	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:19:36	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:19:42	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:19:51	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:20:07	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:20:15	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:20:39	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:21:10	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:21:17	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:21:50	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:21:53	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:21:57	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:22:17	No caption
video1.mp4	00:05:53	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:22:36	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:23:08	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:23:46	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:24:24	No caption
Dan Dennett- Let's teach religion -- all religion -- in schools - TED Talk.mp4	00:24:35	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:00	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:01	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:02	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:13	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:17	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:35	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:00:48	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:01:21	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:01:29	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:01:36	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:02:27	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:17	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:19	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:35	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:42	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:03:55	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:04:02	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:05:54	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:06:04	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:06:50	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:07:36	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:07:52	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:07:57	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:03	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:12	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:24	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:30	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:45	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:08:46	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:01	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:04	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:13	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:19	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:24	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:43	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:09:56	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:10:26	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:10:56	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:11:08	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:11:14	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:11:20	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:11:26	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:11:44	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:12:26	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:12:59	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:13:02	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:13:52	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:14:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:14:44	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:14:53	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:15:21	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:15:32	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:16:38	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:16:50	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:08	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:15	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:33	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:17:55	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:11	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:31	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:18:45	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:00	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:10	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:13	No caption
David Pogue- Simplicity sells - TED Talk.mp4	00:19:46	No caption
